"","X","Year","Open","High","Low","Close","Volume","Return"
"1",1,1950,16.66,20.43,16.65,20.41,626156625,NA
"2",2,1951,20.77,23.85,20.69,23.77,543019043,0.164625183733464
"3",3,1952,23.8,26.59,23.09,26.57,394139290,0.117795540597392
"4",4,1953,26.54,26.66,22.71,24.81,394111107,-0.0662401204365827
"5",5,1954,24.95,35.98,24.8,35.98,635533331,0.450221684804514
"6",6,1955,36.75,46.41,34.58,45.48,720499993,0.264035575319622
"7",7,1956,45.16,49.64,43.11,46.67,617588888,0.0261653474054531
"8",8,1957,46.2,49.13,38.98,39.99,620800005,-0.14313263338333
"9",9,1958,40.33,55.21,40.33,55.21,829622226,0.380595148787197
"10",10,1959,55.44,60.71,53.58,59.89,911166666,0.0847672523093642
"11",11,1960,59.91,60.39,52.2,58.11,851600001,-0.0297211554516614
"12",12,1961,57.57,72.64,57.57,71.55,1130955549,0.231285493030459
"13",13,1962,71.55,71.96,51.35,63.1,1072022223,-0.118099231306778
"14",14,1963,63.1,75.36,62.32,75.02,1274866660,0.188906497622821
"15",15,1964,75.02,86.8,74.82,84.75,1373466659,0.1296987470008
"16",16,1965,84.75,93.3,80.73,92.43,1728177771,0.0906194690265488
"17",17,1966,92.43,94.72,72.28,80.33,2108100001,-0.130909877745321
"18",18,1967,80.33,98.31,79.43,96.47,2809799999,0.200921200049795
"19",19,1968,96.47,109.37,86.73,103.86,3256333333,0.0766041256349124
"20",20,1969,103.86,106.74,88.04,92.06,3163311106,-0.113614481032159
"21",21,1970,92.06,94.25,68.61,92.15,3274144449,0.000977623289159281
"22",22,1971,92.15,105.6,89.34,102.09,4327488891,0.107867607162235
"23",23,1972,102.09,119.79,100.87,118.05,4597077777,0.156332647663826
"24",24,1973,118.06,121.74,91.05,97.55,4508644442,-0.173655230834392
"25",25,1974,97.55,101.05,60.96,68.56,3908444450,-0.297180932854946
"26",26,1975,68.65,96.58,68.65,90.19,5219144446,0.31549008168028
"27",27,1976,90.19,108.72,89.81,107.46,5954566666,0.191484643530325
"28",28,1977,107.46,107.97,90.01,95.1,5864111117,-0.115019542155221
"29",29,1978,95.1,108.05,86.45,96.11,8000088890,0.0106203995793902
"30",30,1979,96.11,112.16,95.22,107.94,9069844453,0.123088128186453
"31",31,1980,107.94,141.96,94.23,135.76,12611811111,0.257735779136557
"32",32,1981,135.76,140.32,110.19,122.55,13172044446,-0.0973040659988214
"33",33,1982,122.55,144.36,102.2,140.64,18284866673,0.147613219094247
"34",34,1983,140.65,172.65,138.08,164.93,23981477793,0.172710466439136
"35",35,1984,164.93,170.41,147.26,167.24,25644033333,0.0140059419147517
"36",36,1985,167.2,213.08,163.36,211.28,30566733343,0.263334130590768
"37",37,1986,211.28,254.87,202.6,242.17,39643877798,0.146204089360091
"38",38,1987,242.17,337.89,216.46,247.08,53109399926,0.0202750134203247
"39",39,1988,247.1,283.95,240.17,277.72,45386688946,0.124008418326048
"40",40,1989,277.72,360.44,273.81,353.4,46328433336,0.272504680973642
"41",41,1990,353.4,369.78,294.51,330.22,44091922175,-0.0655913978494622
"42",42,1991,330.2,418.32,309.35,417.09,50376277785,0.263067046211616
"43",43,1992,417.03,442.65,392.41,435.71,57016222190,0.0446426430746362
"44",44,1993,435.7,471.29,426.88,466.45,74413544403,0.0705515136214455
"45",45,1994,466.51,482.85,435.86,459.27,81609266538,-0.0153928609711652
"46",46,1995,459.21,622.88,457.2,615.93,96937055894,0.341106538637403
"47",47,1996,615.93,762.12,597.29,740.74,116111900324,0.202636663257188
"48",48,1997,740.74,986.25,729.55,970.43,147765533423,0.31008181008181
"49",49,1998,970.43,1244.93,912.83,1229.23,188233277942,0.266685902125862
"50",50,1999,1229.23,1473.13,1205.46,1469.25,226335755488,0.195260447597276
"51",51,2000,1477.87,1553.1,1254.19,1320.28,289656955257,-0.101391866598605
"52",52,2001,1321.62,1383.37,944.07,1148.08,339503087830,-0.130426879146848
"53",53,2002,1148.08,1176.97,768.58,879.82,398137267435,-0.233659675283952
"54",54,2003,881.69,1112.52,788.9,1111.92,352172573596,0.263803959900889
"55",55,2004,1112.61,1217.33,1060.74,1211.92,322370723221,0.0899345276638607
"56",56,2005,1213.43,1275.8,1136.22,1248.29,341598096597,0.0300102316984619
"57",57,2006,1252.03,1431.81,1219.29,1418.3,352937805866,0.136194313821308
"58",58,2007,1418.03,1576.09,1364.14,1468.36,319249983232,0.0352957766339984
"59",59,2008,1468.36,1471.77,741.02,903.25,327496429536,-0.384857936745757
"60",60,2009,903.25,1130.38,666.79,1115.1,296211825248,0.234541931912538
"61",61,2010,1115.1,1262.6,1010.91,1257.64,239831644832,0.127827100708457
"62",62,2011,1257.62,1370.58,1074.77,1257.6,203071269088,-3.18056041476026e-05
"63",63,2012,1258.86,1474.51,1258.86,1426.19,147264703472,0.134056933842239
"64",64,2013,1426.19,1849.44,1426.19,1848.36,132656392192,0.296012452758749
"65",65,2014,1845.86,2093.55,1737.92,2058.9,130509835520,0.113906381873661
"66",66,2015,2058.9,2134.72,1867.01,2043.94,151478646320,-0.00726601583369762
